id;Full_Name;Project_id;Nomination;Prize;Login;Password
21;Агата Никифоровна Жукова;9175;Лидеры инноваций;1165000;НЖАгата;m8ytzvn)mt
22;Софрон Елисеевич Иванов;3296;Проект будущего;2827000;ЕИСофрон;cma53bbmsb
23;Антонина Константиновна Егорова;2308;Меняющие реальность;1779000;КЕАнтонина;8lp8f.ypg?
24;Антонина Мироновна Одинцова;7293;Проект будущего;1690000;МОАнтонина;l8mi??25?5
25;Маргарита Яковлевна Игнатова;2866;Меняющие реальность;2949000;ЯИМаргарита;j!mkuq?fhr
26;Автоном Марсович Савин;7416;Молодой новатор;2289000;МСАвтоном;7ipmhl.kwf
27;Пелагея Викторовна Игнатьева;9891;Двигатель прогресса;499000;ВИПелагея;??5fgpk!du
28;Елисей Даниилович Карпов;5260;Лидеры инноваций;1882000;ДКЕлисей;q?vovnju3u
29;Трофим Феоктистович Терентьев;2034;Двигатель прогресса;1171000;ФТТрофим;vqtg4eurrp
30;Татьяна Святославовна Копылова;1088;Меняющие реальность;731000;СКТатьяна;va2qjhvelo
31;Касьян Трифонович Егоров;1883;Меняющие реальность;2470000;ТЕКасьян;4xk.yquyo.
32;Олимпий Анатольевич Юдин;3468;Лидеры инноваций;1752000;АЮОлимпий;pvthjdu6sc
33;Алевтина Вадимовна Васильева;8815;Молодой новатор;2138000;ВВАлевтина;d2l!pfe.cl
34;Агафья Константиновна Герасимова;6986;Двигатель прогресса;1490000;КГАгафья;d4phrlm9z?
35;Фрол Федосьевич Шарапов;4535;Двигатель прогресса;2017000;ФШФрол;n2hycxyofh
36;Семен Богданович Зимин;5379;Проект будущего;304000;БЗСемен;vervnc2wuc
37;Нинель Николаевна Жукова;7603;Лидеры инноваций;2321000;НЖНинель;zdpi?xa8uy
38;Чеслав Владленович Шаров;7154;Лидеры инноваций;1958000;ВШЧеслав;voh17)n5tl
39;Иннокентий Венедиктович Михеев;6986;Двигатель прогресса;977000;ВМИннокентий;ykiw)orx)u
40;Галина Феликсовна Петухова;2484;Молодой новатор;906000;ФПГалина;k)q)dqugjc
41;Ким Елисеевич Осипов;4388;Молодой новатор;1438000;ЕОКим;0aj1t1zzcx
42;Прасковья Алексеевна Панфилова;2292;Проект будущего;1900000;АППрасковья;cvw8x0e88w
43;Мартын Жанович Носков;6148;Проект будущего;2985000;ЖНМартын;q!ddwgiyjf
44;Кира Захаровна Прохорова;7131;Молодой новатор;2202000;ЗПКира;ynma6tgq0g
45;Вениамин Андреевич Антонов;1895;Меняющие реальность;806000;ААВениамин;6s4kqtjvjg
46;Виктория Никифоровна Прохорова;1794;Молодой новатор;2455000;НПВиктория;0ilgbmtuqn
47;Анжела Федоровна Пестова;8492;Проект будущего;2145000;ФПАнжела;qm!q6voele
48;Майя Леонидовна Хохлова;1939;Лидеры инноваций;617000;ЛХМайя;bd7zyezc)d
49;Самсон Трифонович Якушев;7003;Лидеры инноваций;757000;ТЯСамсон;q?ujjino5g
50;Яков Матвеевич Маслов;8373;Меняющие реальность;1705000;ММЯков;lsx1o1cg0p
51;Ювеналий Георгиевич Воронов;9178;Меняющие реальность;2288000;ГВЮвеналий;vqjivumd)e
52;Анна Степановна Костина;3478;Меняющие реальность;1601000;СКАнна;g4vbvbg786
53;Артемий Якубович Зайцев;5884;Проект будущего;2532000;ЯЗАртемий;jejg3lcxlx
54;Лавр Гурьевич Юдин;9698;Лидеры инноваций;132000;ГЮЛавр;1hamopihwv
55;Агафья Эльдаровна Копылова;5298;Проект будущего;138000;ЭКАгафья;g2vrznchig
56;Маргарита Владимировна Ермакова;4698;Меняющие реальность;1481000;ВЕМаргарита;fgxw5ls(b!
57;Аникита Денисович Носов;8851;Проект будущего;1849000;ДНАникита;dz(?ol1g?n
58;Владлен Арсеньевич Селиверстов;9698;Двигатель прогресса;2832000;АСВладлен;ol327idfjk
59;Елена Васильевна Белякова;7003;Лидеры инноваций;1172000;ВБЕлена;n9so1?vdfu
60;Ерофей Владиславович Тихонов;6362;Меняющие реальность;1659000;ВТЕрофей;7oa(syujwv
61;Дмитрий Харлампович Бобылев;6106;Двигатель прогресса;261000;ХБДмитрий;sjlfyyzrw.
62;Раиса Кузьминична Трофимова;4198;Меняющие реальность;NULL;КТРаиса;cldag58buk
63;Ирина Станиславовна Сорокина;2034;Меняющие реальность;571000;ССИрина;sdvlfh59l0
64;Ангелина Яковлевна Силина;9728;Проект будущего;2817000;ЯСАнгелина;avxgzwd6au
65;Михей Жанович Устинов;7850;Молодой новатор;1159000;ЖУМихей;(17hdmopsb
66;Марина Богдановна Богданова;7980;Двигатель прогресса;2796000;ББМарина;!7kmmo0wip
67;Аркадий Григорьевич Исаков;5981;Меняющие реальность;1861000;ГИАркадий;lhkgo8ezra
68;Стоян Фролович Рогов;4083;Проект будущего;1378000;ФРСтоян;p5co5m4yro
69;Мстислав Артурович Антонов;9251;Проект будущего;633000;ААМстислав;jqmbup62v2
70;Аполлон Гаврилович Ширяев;1754;Проект будущего;1272000;ГШАполлон;awmsn8l(e)
71;Анжелика Анатольевна Полякова;2414;Проект будущего;519000;АПАнжелика;r58bpmrwnq
72;Елена Болеславовна Ермакова;2908;Молодой новатор;246000;БЕЕлена;idspw)f0ye
73;Агап Чеславович Емельянов;6535;Двигатель прогресса;1725000;ЧЕАгап;0gp3s)!tqn
74;Леон Эдгарович Колобов;6106;Меняющие реальность;1296000;ЭКЛеон;lomed109h4
75;Афиноген Бориславович Юдин;9516;Молодой новатор;1146000;БЮАфиноген;cvux4ttkdy
76;Агафья Аркадьевна Рябова;7954;Меняющие реальность;1223000;АРАгафья;8v0em1l0on
77;София Валериевна Макарова;3383;Проект будущего;1776000;ВМСофия;lcb2hprain
78;Родион Авдеевич Власов;4056;Молодой новатор;1501000;АВРодион;knk2xrxlgy
79;Акулина Семеновна Васильева;9223;Меняющие реальность;2702000;СВАкулина;eoyssuku?j
80;Арсений Демьянович Беляев;1496;Молодой новатор;2707000;ДБАрсений;raja8vvwna
81;Владлен Арсеньевич Рыбаков;1819;Меняющие реальность;596000;АРВладлен;ru.lhk!?il
82;Борис Эдгарович Брагин;3489;Двигатель прогресса;494000;ЭББорис;1gymgtfu(3
83;Ратибор Адрианович Харитонов;4994;Проект будущего;1874000;АХРатибор;33qxy4a7gm
84;Феврония Леонидовна Доронина;3691;Лидеры инноваций;1703000;ЛДФеврония;6qnv7e0u5g
85;Кондрат Эдгардович Поляков;7769;Лидеры инноваций;942000;ЭПКондрат;tvsbrz3hn9
86;Ольга Федоровна Сысоева;2184;Двигатель прогресса;1832000;ФСОльга;maicfzs2!t
87;Лидия Максимовна Кириллова;1722;Двигатель прогресса;723000;МКЛидия;pqacs?248a
88;Глафира Александровна Ершова;7589;Меняющие реальность;2759000;АЕГлафира;s1eff4cydv
89;Алина Вячеславовна Исаева;2110;Меняющие реальность;2675000;ВИАлина;onhboc)!73
90;Аскольд Марсович Красильников;3982;Меняющие реальность;2537000;МКАскольд;l!k1hr9us2
91;Анисим Владиленович Баранов;2549;Молодой новатор;2656000;ВБАнисим;3khem9!lqf
92;Октябрина Валериевна Григорьева;6395;Лидеры инноваций;177000;ВГОктябрина;v9c4ak)4)s
93;Никандр Игоревич Юдин;1061;Двигатель прогресса;2208000;ИЮНикандр;(su8116kad
94;Валерьян Ерофеевич Шилов;5792;Меняющие реальность;1174000;ЕШВалерьян;jmfbanxca3
95;Прасковья Олеговна Николаева;8349;Лидеры инноваций;1997000;ОНПрасковья;.cpgm4f00t
96;Клавдий Игнатович Королев;9694;Лидеры инноваций;NULL;ИККлавдий;q9.nnx5)ni
97;Наталья Даниловна Евдокимова;2578;Меняющие реальность;2254000;ДЕНаталья;xlepy6r!s6
98;Глафира Владиславовна Воронцова;5195;Лидеры инноваций;1435000;ВВГлафира;y8x9mnt3rl
99;Зиновий Давыдович Белоусов;4198;Молодой новатор;1878000;ДБЗиновий;wvrttz6lt(
100;София Сергеевна Михеева;3921;Лидеры инноваций;545000;СМСофия;kmrjja2!qw
101;Екатерина Альбертовна Кудрявцева;4428;Двигатель прогресса;1429000;АКЕкатерина;ebpbg5nbbk
102;Мариан Валентинович Рыбаков;8888;Молодой новатор;1533000;ВРМариан;kjtbhsek0?
103;Нинель Архиповна Крюкова;3128;Двигатель прогресса;2433000;АКНинель;vpi1jyvako
104;Екатерина Антоновна Вишнякова;4136;Молодой новатор;1204000;АВЕкатерина;.atsiewukb
105;Илья Фролович Уваров;6274;Проект будущего;923000;ФУИлья;ipdfomda(a
106;Надежда Архиповна Алексеева;7060;Молодой новатор;350000;ААНадежда;fnb.khwlgs
107;Максимильян Евстигнеевич Зиновьев;7687;Меняющие реальность;2933000;ЕЗМаксимильян;ua0ykwy3lr
108;Феоктист Всеволодович Лебедев;4512;Проект будущего;2822000;ВЛФеоктист;jsmp0ocnsj
109;Елена Мироновна Соболева;1070;Двигатель прогресса;1704000;МСЕлена;litvnapl0w
110;Глафира Яковлевна Семенова;4994;Двигатель прогресса;2285000;ЯСГлафира;jduf1l)5e9
111;Марфа Александровна Петухова;2034;Лидеры инноваций;1790000;АПМарфа;.0i?cfmbit
112;Аким Елизарович Сафонов;7293;Лидеры инноваций;1958000;ЕСАким;c4uo.gzuu?
113;Венедикт Чеславович Лебедев;9162;Проект будущего;1705000;ЧЛВенедикт;ym(t3dc811
114;Вера Александровна Михеева;3914;Молодой новатор;1657000;АМВера;dcv)iultaq
115;Лавр Ильич Титов;5491;Двигатель прогресса;1580000;ИТЛавр;nc5jdt6g.w
116;Ульяна Яковлевна Зыкова;2557;Двигатель прогресса;581000;ЯЗУльяна;jwbem4x1me
117;Алексей Адамович Рыбаков;5168;Меняющие реальность;2653000;АРАлексей;e(oxkj.g8a
118;Кир Бориславович Комаров;5332;Меняющие реальность;856000;БККир;d(bx8antb)
119;Митофан Аксёнович Федоров;1162;Проект будущего;291000;АФМитофан;uairm!g?rk
120;Савелий Германович Зыков;1206;Меняющие реальность;839000;ГЗСавелий;wm2xhafvhk
121;Елисей Ефимович Кошелев;2557;Проект будущего;250000;ЕКЕлисей;hqh0wnnypy
122;Адриан Яковлевич Денисов;8779;Двигатель прогресса;1950000;ЯДАдриан;)2ua9g0l7r
123;Селиверст Даниилович Большаков;6847;Меняющие реальность;1524000;ДБСеливерст;vhn.qpqtiq
124;Владислав Федосеевич Фадеев;3344;Проект будущего;467000;ФФВладислав;jqbp?tvtjn
125;Игорь Харитонович Устинов;1883;Меняющие реальность;1169000;ХУИгорь;f5dcls6hhj
126;Алина Семеновна Игнатьева;9110;Молодой новатор;2724000;СИАлина;)t7bucqepz
127;Всеволод Яковлевич Сафонов;5981;Молодой новатор;1501000;ЯСВсеволод;bixmxsj.ev
128;Селиверст Давидович Щукин;1512;Меняющие реальность;757000;ДЩСеливерст;3ufa3bzugz
129;Анжелика Артемовна Потапова;3722;Лидеры инноваций;2469000;АПАнжелика;hst4ybifym
130;Адриан Витальевич Захаров;4237;Лидеры инноваций;172000;ВЗАдриан;zwmgb3!j.d
131;Исидор Ануфриевич Субботин;5228;Меняющие реальность;2919000;АСИсидор;hefb2n(yyz
132;Лора Ждановна Исаева;6395;Меняющие реальность;2796000;ЖИЛора;sfdwd.(w7e
133;Афиноген Трифонович Аксенов;4083;Молодой новатор;2515000;ТААфиноген;7cexrvc.40
134;Акулина Викторовна Коновалова;3855;Меняющие реальность;1761000;ВКАкулина;wszj?j?ojx
135;Марина Ефимовна Тетерина;4994;Меняющие реальность;1748000;ЕТМарина;iekzl5frlw
136;Парфен Васильевич Михеев;2308;Молодой новатор;2345000;ВМПарфен;msqx?quno(
137;Оксана Оскаровна Быкова;6007;Проект будущего;2009000;ОБОксана;t.shsxo7jp
138;Ираида Степановна Соколова;9961;Двигатель прогресса;338000;ССИраида;9x3wkx(tw6
139;Лариса Вадимовна Тетерина;2959;Двигатель прогресса;113000;ВТЛариса;dl?4rrssoq
140;Дарья Эдуардовна Кулакова;8333;Проект будущего;909000;ЭКДарья;r2bld1aogv
141;Эмиль Гордеевич Пестов;9454;Лидеры инноваций;2283000;ГПЭмиль;epktfiqy)k
142;Кира Эдуардовна Юдина;6986;Двигатель прогресса;2967000;ЭЮКира;tjf)6rhhhq
143;Наталья Ждановна Стрелкова;1332;Проект будущего;2871000;ЖСНаталья;mvq6ean!8n
144;Борислав Фокич Филиппов;7312;Двигатель прогресса;1665000;ФФБорислав;l04ltvaoka
145;Назар Феодосьевич Красильников;3773;Двигатель прогресса;2619000;ФКНазар;lk7mf6lh8c
146;Чеслав Викентьевич Филиппов;9465;Лидеры инноваций;1570000;ВФЧеслав;u94ahj3)!s
147;Прокл Васильевич Пестов;3656;Меняющие реальность;331000;ВППрокл;xxknm!j2oo
148;Агата Матвеевна Маслова;5307;Лидеры инноваций;463000;ММАгата;4!hlhn8or4
149;Федосий Ермилович Кузьмин;1332;Проект будущего;897000;ЕКФедосий;h!h8366btt
150;Павел Глебович Королев;7131;Молодой новатор;1669000;ГКПавел;dhh1zgyssq
151;Ладимир Федотович Осипов;5121;Двигатель прогресса;1021000;ФОЛадимир;k0mn4ksvnw
152;Владилен Августович Шарапов;1775;Лидеры инноваций;1241000;АШВладилен;mfhbbifqz5
153;Виктория Ивановна Цветкова;6761;Молодой новатор;1927000;ИЦВиктория;l8fn8(pjbm
154;Олимпиада Кирилловна Иванова;6638;Меняющие реальность;351000;КИОлимпиада;7nehqfzcof
155;Фирс Елизарович Шаров;9036;Двигатель прогресса;1385000;ЕШФирс;!2)c.gko8u
156;Ипат Давыдович Мартынов;5332;Лидеры инноваций;622000;ДМИпат;j.d414a)kz
157;Марина Ждановна Уварова;7451;Меняющие реальность;2856000;ЖУМарина;rfkgtum?kv
158;Ксения Игоревна Баранова;2088;Меняющие реальность;2074000;ИБКсения;dzm!nrk!m8
159;Аркадий Ефимович Жуков;6274;Проект будущего;768000;ЕЖАркадий;s6lfprmhfl
160;Фёкла Романовна Осипова;2034;Меняющие реальность;2339000;РОФёкла;i.7om)9xbi
161;Никон Артурович Орлов;4237;Лидеры инноваций;1155000;АОНикон;mxqciblrh3
162;Раиса Тарасовна Куликова;8888;Меняющие реальность;970000;ТКРаиса;6zh5n8hhv1
163;Феврония Афанасьевна Большакова;6311;Двигатель прогресса;961000;АБФеврония;k2qwwd!rbs
164;Ким Валерьевич Константинов;9676;Двигатель прогресса;2520000;ВККим;su6pkciufw
165;Ольга Вадимовна Громова;4495;Молодой новатор;998000;ВГОльга;wx?vwhsxhb
166;Демид Филимонович Куликов;4446;Меняющие реальность;2559000;ФКДемид;)zralb38s5
167;Олимпий Харитонович Русаков;7589;Молодой новатор;2997000;ХРОлимпий;vpgap3bdft
168;Тихон Ерофеевич Воробьев;4428;Меняющие реальность;682000;ЕВТихон;solxzou4ee
169;Исидор Гурьевич Блинов;9002;Молодой новатор;NULL;ГБИсидор;off3j2hjfi
170;Лидия Львовна Галкина;5195;Молодой новатор;1124000;ЛГЛидия;xing66fhue
171;Алла Кузьминична Зайцева;2768;Меняющие реальность;NULL;КЗАлла;dh(td9jesx
172;Анна Наумовна Куликова;6155;Молодой новатор;1041000;НКАнна;zemhfhm(7r
173;Болеслав Августович Рожков;2480;Меняющие реальность;2408000;АРБолеслав;tmn9c48qn?
174;София Аскольдовна Моисеева;3722;Молодой новатор;2875000;АМСофия;dg8ew1z4ye
175;Богдан Иосипович Овчинников;8557;Двигатель прогресса;2140000;ИОБогдан;!twjo)wbvl
176;Нинель Артемовна Носкова;6461;Молодой новатор;2522000;АННинель;q.dxrksj73
177;Борислав Антонович Комиссаров;6761;Проект будущего;680000;АКБорислав;7bf9?9elx2
178;Иванна Анатольевна Кулакова;2480;Проект будущего;NULL;АКИванна;zcbvcrezo4
179;Любовь Вячеславовна Медведева;4083;Двигатель прогресса;2828000;ВМЛюбовь;vutd7x3osl
180;Марфа Сергеевна Мельникова;3855;Молодой новатор;1354000;СММарфа;hakjc0q3r4
181;Наталья Вячеславовна Евдокимова;9178;Лидеры инноваций;2884000;ВЕНаталья;oandqrr2vt
182;Аким Федосеевич Мартынов;9223;Лидеры инноваций;1060000;ФМАким;u(cki!up5e
183;Аверьян Дорофеевич Рогов;5400;Меняющие реальность;947000;ДРАверьян;0gfzt)xodp
184;Евлампий Глебович Филатов;2419;Лидеры инноваций;794000;ГФЕвлампий;fbsnpx4hvs
185;Ратибор Феоктистович Горбунов;7792;Лидеры инноваций;745000;ФГРатибор;wevyso7ngn
186;Архип Фокич Мишин;6638;Молодой новатор;2198000;ФМАрхип;voj!bhabfr
187;Эмилия Николаевна Степанова;8165;Проект будущего;1682000;НСЭмилия;rbb49r1rhn
188;Жанна Юльевна Лихачева;2947;Меняющие реальность;1546000;ЮЛЖанна;bygg!sopjv
189;Митофан Бориславович Ермаков;1332;Меняющие реальность;1920000;БЕМитофан;fwyaem9w.s
190;Фаина Владиславовна Большакова;1496;Проект будущего;2973000;ВБФаина;yyj8xrf3zt
191;Иван Арсенович Киселев;4923;Молодой новатор;1827000;АКИван;o5.dl74h50
192;Добромысл Германович Константинов;6262;Меняющие реальность;415000;ГКДобромысл;.nqk5wyyu6
193;Татьяна Рубеновна Степанова;1939;Меняющие реальность;2644000;РСТатьяна;mje!.u!nal
194;Регина Егоровна Кириллова;3722;Молодой новатор;1520000;ЕКРегина;rsyyfq027h
195;Савва Эдгарович Кудряшов;8283;Двигатель прогресса;2548000;ЭКСавва;kzis!ta.wr
196;Марфа Вениаминовна Орлова;3821;Меняющие реальность;509000;ВОМарфа;frsbr3hccg
197;Клавдия Федоровна Алексеева;2706;Молодой новатор;1081000;ФАКлавдия;w8zssiepcv
198;Вячеслав Филатович Кириллов;1939;Двигатель прогресса;739000;ФКВячеслав;rrbz)x!h88
199;Клавдия Тарасовна Зыкова;7240;Двигатель прогресса;NULL;ТЗКлавдия;pigqf93thc
200;Галина Аркадьевна Шилова;1939;Проект будущего;2058000;АШГалина;nz8!ek?!ad
201;Виталий Георгиевич Григорьев;3556;Проект будущего;2147000;ГГВиталий;gs!qkh82rk
202;Эмилия Сергеевна Гусева;7197;Проект будущего;1378000;СГЭмилия;9bbe3fmb.x
203;Тихон Андреевич Евдокимов;4428;Молодой новатор;NULL;АЕТихон;elelmc3wkk
204;Боян Зиновьевич Осипов;2152;Лидеры инноваций;2925000;ЗОБоян;27!vzc(d4c
205;Ольга Харитоновна Рожкова;6395;Меняющие реальность;1952000;ХРОльга;faovxd134j
206;Василиса Максимовна Герасимова;1358;Меняющие реальность;463000;МГВасилиса;zmrbvy!jt7
207;София Семеновна Лаврентьева;8080;Проект будущего;2124000;СЛСофия;hvpci?ft.o
208;Антонина Михайловна Зуева;5325;Лидеры инноваций;658000;МЗАнтонина;mzw0pu!960
209;Галина Наумовна Панфилова;8018;Молодой новатор;2930000;НПГалина;3am4ist)e.
210;Орлов Лаврентий Витальевич;5988;Молодой новатор;1747000;ЛВОрлов;uojdbr(xxs
211;Виктория Кузьминична Гордеева;5228;Молодой новатор;842000;КГВиктория;c6k1)cfkyh
212;Ермил Аксёнович Терентьев;8062;Двигатель прогресса;1456000;АТЕрмил;u4jfxde4(n
213;Кузьма Аксёнович Павлов;7318;Меняющие реальность;515000;АПКузьма;pggkw2tz.5
214;Панкрат Жоресович Королев;3821;Проект будущего;1464000;ЖКПанкрат;(2ztk)pthy
215;Феврония Андреевна Князева;4237;Двигатель прогресса;1022000;АКФеврония;3zqphhz6vy
216;Климент Демьянович Гущин;5325;Молодой новатор;2298000;ДГКлимент;nojmhq9hrm
217;Евдокия Валериевна Щербакова;4994;Проект будущего;1622000;ВЩЕвдокия;oj(ailq?wt
218;Анисим Матвеевич Никитин;3834;Меняющие реальность;2645000;МНАнисим;8o4rn8xse8
219;Таисия Львовна Павлова;6789;Молодой новатор;2098000;ЛПТаисия;p6!arwkwgl
220;Фотий Августович Громов;9649;Меняющие реальность;2256000;АГФотий;6hn5aecs2c
221;Элеонора Юльевна Аксенова;9437;Лидеры инноваций;302000;ЮАЭлеонора;ji4fhmtcb.
222;Гордеева Елизавета Юрьевна;7318;Проект будущего;570000;ЕЮГордеева;z1mdhxdhwa
223;Зиновий Трофимович Стрелков;7636;Двигатель прогресса;2860000;ТСЗиновий;i(?xlfvv?e
224;Дарья Ниловна Юдина;2384;Лидеры инноваций;2036000;НЮДарья;lfux3n6ac2
225;Иларион Харламович Медведев;7553;Двигатель прогресса;1410000;ХМИларион;a6o)alevi?
226;Ирина Филипповна Маркова;5233;Двигатель прогресса;561000;ФМИрина;m!vbjdxgvw
227;Афанасий Тарасович Волков;3516;Проект будущего;1327000;ТВАфанасий;w(vozs.fuu
228;Фадей Трифонович Гущин;5379;Молодой новатор;2013000;ТГФадей;zgdy6v?dfu
229;Евдокия Алексеевна Аксенова;5537;Двигатель прогресса;571000;ААЕвдокия;jycwjj5fxu
230;Антонина Мироновна Симонова;6155;Лидеры инноваций;765000;МСАнтонина;bj8g)hidyj
231;Татьяна Львовна Тимофеева;8045;Меняющие реальность;1787000;ЛТТатьяна;saow.janqi
232;Леонтий Герасимович Кононов;3855;Проект будущего;2175000;ГКЛеонтий;q.k?fvqwnk
233;Валерия Альбертовна Ефремова;4087;Молодой новатор;1835000;АЕВалерия;y(zlov0sym
234;Владимир Витальевич Баранов;2706;Лидеры инноваций;1238000;ВБВладимир;v9encevkwo
235;Марфа Руслановна Рыбакова;7514;Проект будущего;1066000;РРМарфа;8ny6exdsjn
236;Ерофей Архипович Цветков;5045;Двигатель прогресса;2070000;АЦЕрофей;m1ilmyhat9
237;Зосима Владленович Марков;9251;Двигатель прогресса;503000;ВМЗосима;enlld(rwyc
238;Эдуард Бориславович Соколов;7589;Лидеры инноваций;1763000;БСЭдуард;zm)n3)wyxo
239;Феврония Тимофеевна Гущина;3821;Лидеры инноваций;862000;ТГФеврония;ay09ejmmt!
240;Святослав Венедиктович Волков;3296;Двигатель прогресса;228000;ВВСвятослав;frh7on8g9(
241;Регина Харитоновна Русакова;2822;Проект будущего;363000;ХРРегина;xjsdf)ec)a
242;Глафира Наумовна Лазарева;9311;Лидеры инноваций;2709000;НЛГлафира;z)qozqvtf8
243;Дарья Романовна Рожкова;3556;Проект будущего;1842000;РРДарья;5daylenehn
244;Богдан Артёмович Федоров;8492;Молодой новатор;617000;АФБогдан;9!xgjaheyb
245;Акулина Федоровна Шашкова;5186;Молодой новатор;2792000;ФШАкулина;zmf2qkk(q.
246;Ульян Захарьевич Логинов;5160;Молодой новатор;1730000;ЗЛУльян;q0oufq9919
247;Таисия Захаровна Рогова;1814;Двигатель прогресса;1627000;ЗРТаисия;?xiv2llekj
248;Глафира Валериевна Лапина;6789;Лидеры инноваций;2346000;ВЛГлафира;fstv6h7hkj
249;Олимпиада Егоровна Панова;2412;Молодой новатор;1806000;ЕПОлимпиада;av5vadyl(k
250;Герасим Фёдорович Никифоров;6155;Лидеры инноваций;549000;ФНГерасим;y5dhr3o5di
251;Олимпиада Ивановна Маркова;5699;Молодой новатор;NULL;ИМОлимпиада;5b1pdn7c?r
252;Елена Кузьминична Михайлова;1420;Меняющие реальность;2420000;КМЕлена;lcwoqmfwj6
253;Полина Юльевна Морозова;2768;Двигатель прогресса;1535000;ЮМПолина;j?b1ya0pkn
254;Парфен Герасимович Зайцев;9578;Двигатель прогресса;1203000;ГЗПарфен;29ezdlkqgr
255;Пантелеймон Эдуардович Кононов;2222;Молодой новатор;1526000;ЭКПантелеймон;knpdy.i5d5
256;Аверкий Тимурович Ефимов;8670;Меняющие реальность;2836000;ТЕАверкий;g11yzphefl
257;Семен Еремеевич Веселов;3409;Лидеры инноваций;1468000;ЕВСемен;yg!kn9mpqd
258;Всеволод Давидович Кулаков;9162;Молодой новатор;1501000;ДКВсеволод;z8tbvgcea0
259;Никодим Исидорович Гурьев;9473;Лидеры инноваций;2887000;ИГНикодим;no)uxu0.sv
260;Вера Викторовна Пономарева;3982;Молодой новатор;1140000;ВПВера;4h7?3aixi3
261;Екатерина Юрьевна Иванова;4486;Проект будущего;2916000;ЮИЕкатерина;93axiwslqg
262;Ангелина Рудольфовна Артемьева;7494;Молодой новатор;NULL;РААнгелина;q8bpkc(jhk
263;Елена Вадимовна Королева;2578;Молодой новатор;768000;ВКЕлена;79w8pejvsb
264;Автоном Венедиктович Шилов;2822;Двигатель прогресса;194000;ВШАвтоном;nlbyhv.dib
265;Агап Владиленович Алексеев;8851;Лидеры инноваций;NULL;ВААгап;dxzfhe)c1m
266;Кира Романовна Кудрявцева;4945;Молодой новатор;1562000;РККира;s78d7!?hnp
267;Добромысл Аверьянович Попов;2854;Лидеры инноваций;858000;АПДобромысл;3xith7lohu
268;Фаина Макаровна Крюкова;8031;Меняющие реальность;1179000;МКФаина;ufhsamsc0f
269;Ульяна Аркадьевна Тимофеева;5627;Молодой новатор;1972000;АТУльяна;b3kn(vonuh
270;Прасковья Эльдаровна Моисеева;1604;Лидеры инноваций;1673000;ЭМПрасковья;id?uzyqocp
271;Кондратий Александрович Доронин;5022;Лидеры инноваций;1256000;АДКондратий;gyqmlel9h!
272;Полина Никифоровна Сазонова;7779;Двигатель прогресса;2879000;НСПолина;ddh?dpn0hy
273;Любовь Степановна Лапина;6106;Молодой новатор;254000;СЛЛюбовь;7sp5g8.kdq
274;Никон Бориславович Князев;4817;Двигатель прогресса;2890000;БКНикон;r9kgp8lm35
275;Маргарита Ниловна Блинова;2236;Двигатель прогресса;2727000;НБМаргарита;lum1y3tmuk
276;Евграф Георгиевич Громов;2088;Проект будущего;2692000;ГГЕвграф;oe7iku9kve
277;Екатерина Леонидовна Герасимова;4535;Двигатель прогресса;1901000;ЛГЕкатерина;f1di39uen?
278;Карп Арсеньевич Горшков;1206;Молодой новатор;952000;АГКарп;vyxnlmlyb0
